,Borough,Neighborhood,ID,Name
284,Queens,Ravenswood,5cbb548166f3cd002cce8aeb,Bund On Broadway
285,Queens,Ravenswood,4ae78dbff964a52056ac21e3,Fatima's Halal Kitchen
286,Queens,Lindenwood,4bca326b511f95210b4bafc7,Danny's Szechuan Garden
287,Queens,Laurelton,4d85271f61676dcbf7b883e4,New Gookies
288,Queens,Lefrak City,56316c73498ebdd0e0e53e95,Green Zenphony
289,Queens,Lefrak City,4edac00e0aaf49e02a0e2f73,Tasty & Co
290,Queens,Lefrak City,4c320798ed37a59388256b03,New Taste Chinese Restaurant
291,Queens,Belle Harbor,4c02eb2e39d476b0e9652fa7,East Meets West
292,Queens,Rockaway Park,4c02eb2e39d476b0e9652fa7,East Meets West
293,Queens,Bellaire,4c59c1d3d3aee21ea2066955,China King
294,Queens,Bellaire,4d8528cf81fdb1f75a2e0cc0,Blue Sky Chinese Restaurant
295,Staten Island,St. George,4bb6b6952ea19521e52bac2f,D & B Chinese Double
296,Staten Island,Rosebank,4bd36553caff95212bd4d4f0,Island Garden
297,Staten Island,West Brighton,4cf310ca7e0da1cd731e9b97,Green Garden Chinese Restaurant
298,Staten Island,Port Richmond,4c254b83a852c92818ade46c,Crown Palace
299,Staten Island,Port Richmond,4c93b85cf244b1f7c6621b1d,Fortune Cookie
300,Staten Island,Mariner's Harbor,4c8e49484e95236a55977aca,Mandarin House
301,Staten Island,Castleton Corners,4c53660372cf0f4768a0c4d2,Happy Fortune II
302,Staten Island,Castleton Corners,4be75c8f2468c928fc720243,Tack's Chinese Take Out
303,Staten Island,New Springville,4c858222d34ca1430e524880,Island Kitchen
304,Staten Island,New Dorp,4c14210c7f7f2d7fae69e068,Crown Palace
305,Staten Island,Great Kills,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant
306,Staten Island,Great Kills,4c292b6eed0ac9b68a6561aa,Pacific Kitchen
307,Staten Island,Eltingville,4c292b6eed0ac9b68a6561aa,Pacific Kitchen
308,Staten Island,Tompkinsville,4de84e54ae60293318ee3daa,New Chef Hong Kitchen
309,Staten Island,Silver Lake,4ef4bbede300e92ba02a52db,New pheonix
310,Staten Island,Sunnyside,4d1a8eae02a66dcb2c506165,New Win Hing III
311,Brooklyn,Wingate,4e35b780d1649e45e3d4943b,House Of Lin Chinese Restaurant
312,Brooklyn,Rugby,4c1ad571eac020a10a0144c2,China Hao Restaurant
313,Brooklyn,Rugby,4d3b0c6d1fc36dcbbc206df5,Siu's Restaurant
314,Staten Island,Westerleigh,4c254b83a852c92818ade46c,Crown Palace
315,Staten Island,Westerleigh,4c93b85cf244b1f7c6621b1d,Fortune Cookie
316,Staten Island,Westerleigh,4bd6244d7b1876b098188c86,Empire Szechuan
317,Staten Island,Graniteville,5165e9fee4b08d4837e87f35,Empire East
318,Staten Island,Graniteville,4b69eeedf964a520debc2be3,Great China Restaurant
319,Staten Island,Grasmere,4e5181baa80997aa8a56666f,Fortune Hawaii
320,Staten Island,Dongan Hills,4bba73677421a593ebd4c340,Jac Mao
321,Staten Island,Dongan Hills,4bb226dff964a520e3bd3ce3,China Taste
322,Staten Island,Dongan Hills,4c2525bd136d20a10913e361,New Garden chinese
323,Staten Island,Midland Beach,4cc61c46b2beb1f74faa264c,Everybody's Kitchen
324,Staten Island,Grant City,4c14210c7f7f2d7fae69e068,Crown Palace
325,Staten Island,Bay Terrace,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant
326,Staten Island,Charleston,4bddca41ffdec928876ee6a1,Loon Chuan
327,Staten Island,Rossville,4c2bd58f57a9c9b6f591f667,Happy Fortune
328,Staten Island,Arden Heights,4bb23577715eef3be6e984bb,Peking Taste of Arden
329,Staten Island,Greenridge,4c924bf52626a1cdf368396b,Ho Wok
330,Staten Island,Heartland Village,4c858222d34ca1430e524880,Island Kitchen
331,Staten Island,Bulls Head,5165e9fee4b08d4837e87f35,Empire East
332,Staten Island,Bulls Head,4b6b7476f964a520dd092ce3,Oriental Plaza
333,Staten Island,Bulls Head,4d62d78b149637046d7d0395,China House
334,Staten Island,Bulls Head,4d78f78551e8cbfffe9e9fe7,Brothers Three Kitchen
